id_user_sensor,sensorId,user
0,652819,156
1,652861,34
2,652854,61
3,652844,18
4,652817,64
5,2028453,88
6,2028432,72
7,2028362,32
8,1128099,127
9,1128094,101
10,1128095,43
11,1128108,165
12,1028102,30
13,1028105,52
14,1028108,160
15,932809,21
16,892894,78
17,3128403,28
18,3128408,48
19,2428012,64
20,5028978,20
21,5028966,90
22,5028974,66
23,5028977,55
24,1628480,55
25,3628090,103
26,3628098,61
27,3628092,24
28,3628385,114
29,3628119,70
30,3628079,34
31,3628105,43
32,542891,121
33,3728651,116
34,3828405,155
35,2028457,58
36,2028446,74
37,2028450,45
38,662889,174
39,3028122,144
40,3028093,159
41,4928510,45
42,4528430,130
43,3628083,177
44,2428452,176
45,2428497,64
46,2428502,80
47,1528530,30
48,4428549,74
49,4928983,69
50,4628575,111
51,4528002,104
52,1528324,56
53,4628731,119
54,4528397,101
55,4528333,53
56,4628723,81
57,1128181,76
58,1028720,21
59,4428384,154
60,4228859,39
61,1828375,42
62,1828377,177
63,1828378,174
64,3528533,151
65,3528508,26
66,3528505,57
67,4128261,62
68,4128253,96
69,4128267,90
70,4128284,16
71,5128063,38
72,4628654,146
73,4628570,48
74,3828933,64
75,3728105,31
76,4728299,33
77,3928151,93
78,3528557,53
79,3528570,149
80,3528540,47
81,3728658,130
82,4528189,105
83,4528179,115
84,4528445,34
85,1028243,51
86,872895,5
87,932897,146
88,1028257,96
89,4828230,24
90,4728319,89
91,4128204,164
92,1728731,167
93,1828700,85
94,4028448,65
95,4028620,125
96,4028622,32
97,3328766,165
98,4028818,66
99,1728183,23
100,1728171,89
101,1728176,67
102,1728230,65
103,1728251,31
104,1728149,66
105,1728152,31
106,1728181,69
107,1728180,62
108,4728897,14
109,4828065,75
110,4628413,82
111,4628393,148
112,4628411,175
113,4628402,39
114,4628410,83
115,1028258,40
116,5028014,60
117,5028005,37
118,5128657,36
119,4828328,20
120,5028032,135
121,1028345,23
122,1028346,20
123,1028477,46
124,1028349,85
125,1028350,30
126,2228654,48
127,2428453,102
