id,sensorId,user
0,651513,27
1,2015372,44
2,1115100,20
3,1115095,53
4,1115108,58
5,541509,21
6,561561,66
7,1015106,43
8,1015108,17
9,1015110,124
10,861585,122
11,891594,132
12,3115399,71
13,3115401,78
14,3115410,60
15,3115405,75
16,3115407,141
17,2415012,18
18,5015966,33
19,1615475,14
20,3615090,152
21,3615098,100
22,3615119,134
23,3615079,86
24,3615105,49
25,481539,63
26,481561,17
27,481563,165
28,3715754,115
29,3715789,99
30,3715624,169
31,4215777,96
32,4215882,81
33,4215853,83
34,4215913,78
35,2015454,34
36,2015452,143
37,661589,47
38,671558,126
39,3015096,65
40,4715443,25
41,4715453,60
42,4715745,8
43,4715768,56
44,5015728,86
45,4415894,135
46,4415771,112
47,4915510,35
48,4515562,14
49,3515572,52
50,2415499,157
51,2415500,88
52,2415446,45
53,2415452,29
54,2415429,34
55,2415497,76
56,1515530,71
57,4915983,142
58,4615737,146
59,4615728,58
60,4615731,21
61,4615734,36
62,1015720,38
63,4315694,12
64,4315759,36
65,4415387,46
66,4415384,97
67,3515533,140
68,3515505,31
69,5115227,46
70,5115220,73
71,5115233,92
72,4615628,124
73,4615616,128
74,4615577,54
75,4615570,52
76,4715331,39
77,3515540,89
78,4515276,65
79,921522,83
80,881533,37
81,1015086,65
82,1015088,29
83,1015092,35
84,4815230,27
85,981503,21
86,1015179,147
87,4115214,141
88,4115224,79
89,1715731,65
90,1815700,164
91,4015680,70
92,4015492,96
93,4015821,128
94,4015899,56
95,4015901,32
96,1715183,113
97,1715171,69
98,1715176,26
99,1715230,36
100,1715251,84
101,1715149,39
102,1715152,38
103,1715181,67
104,1715180,42
105,4715897,137
106,4815382,82
107,4815106,67
108,4815065,95
109,4615413,34
110,4615431,18
111,4615393,54
112,4615411,136
113,4615410,35
114,1015258,31
115,1015126,149
116,1015345,25
117,1015348,21
118,2215654,159
119,2515992,66
120,2515956,96
121,4015633,17
122,4015654,71
123,2715952,30
124,2715915,139
125,2815022,84
126,2815009,60
127,4115540,82
128,4215418,112
129,1515299,51
130,1515304,50
131,1515305,101
132,5115150,73
133,4215155,62
134,4215186,9
135,3815801,71
136,3815762,15
137,3915108,49
