id,sensorId,Type,coordinates.lat,coordinates.long,altitude,heading,speed,speedmetric,temp,observationTime,date2
0,651513,truck,39.64838,-0.284607,6.0,194,85,KilometersPerHour,,2018-05-15T11:09:08.0000000Z,2018-05-31 11:09:08
1,2015372,truck,39.403885,-2.610251,702.0,132,87,KilometersPerHour,,2018-05-15T11:09:04.0000000Z,2018-05-31 11:09:04
2,1115100,truck,42.143595,-1.7188709999999998,323.0,38,87,KilometersPerHour,,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
3,1115095,truck,45.82078900000001,0.193368,145.0,2,84,KilometersPerHour,,2018-05-15T11:08:40.0000000Z,2018-05-31 11:08:40
4,1115108,truck,42.75751,-1.629413,463.0,154,89,KilometersPerHour,,2018-05-15T11:09:26.0000000Z,2018-05-31 11:09:26
5,541509,truck,38.571981,-0.075433,11.0,76,13,KilometersPerHour,,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
6,561561,car,39.386448,-0.414159,10.0,96,20,KilometersPerHour,,2018-05-15T11:08:08.0000000Z,2018-05-31 11:08:08
7,1015106,truck,49.542977,5.819224,271.0,40,0,KilometersPerHour,,2018-05-15T11:09:33.0000000Z,2018-05-31 11:09:33
8,1015108,truck,52.334286,9.419328,69.0,268,0,KilometersPerHour,,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
9,1015110,truck,46.359523,5.286181,209.0,340,91,KilometersPerHour,,2018-05-15T11:08:51.0000000Z,2018-05-31 11:08:51
10,861585,truck,36.578266,-6.0978629999999985,45.0,44,89,KilometersPerHour,,2018-05-15T11:08:46.0000000Z,2018-05-31 11:08:46
11,891594,truck,41.53265800000001,2.109536,162.0,128,5,KilometersPerHour,,2018-05-15T11:09:05.0000000Z,2018-05-31 11:09:05
12,3115399,car,41.3708343,2.1310006,40.0,213,17,KilometersPerHour,,2018-05-15T11:09:30.0000000Z,2018-05-31 11:09:30
13,3115401,car,36.8208868,-2.5442363,161.0,250,103,KilometersPerHour,,2018-05-15T11:09:35.0000000Z,2018-05-31 11:09:35
14,3115410,car,38.5076828,-1.7030733,547.0,173,19,KilometersPerHour,,2018-05-15T11:09:42.0000000Z,2018-05-31 11:09:42
15,3115405,car,40.27809379999999,-3.7505648,611.0,159,7,KilometersPerHour,,2018-05-15T11:08:54.0000000Z,2018-05-31 11:08:54
16,3115407,car,38.6363718,-0.8658431000000001,518.0,0,0,KilometersPerHour,,2018-05-15T11:08:38.0000000Z,2018-05-31 11:08:38
17,2415012,car,37.383992,-5.926292,46.0,30,0,KilometersPerHour,,2018-05-15T11:08:55.0000000Z,2018-05-31 11:08:55
18,5015966,truck,42.768591,-1.54493,534.0,28,9,KilometersPerHour,,2018-05-15T11:08:54.0000000Z,2018-05-31 11:08:54
19,1615475,truck,39.471816,-0.513622,146.0,266,0,KilometersPerHour,,2018-05-15T11:09:12.0000000Z,2018-05-31 11:09:12
