,Address,Province,Country,numAccident,lat,long
0,CM-220,ALBACETE,Spain,3.0,39.2580082,-1.9194417
1,A-7,ALICANTE / ALACANT,Spain,4.0,38.353738,-0.4901846
2,A-77,ALICANTE / ALACANT,Spain,8.0,38.353738,-0.4901846
3,A-77a,ALICANTE / ALACANT,Spain,6.0,38.3812127,-0.5164375
4,A-77a,ALICANTE / ALACANT,Spain,3.0,38.3812127,-0.5164375
5,CV-70,ALICANTE / ALACANT,Spain,3.0,38.686778,-0.4592758
6,CV-70,ALICANTE / ALACANT,Spain,3.0,38.686778,-0.4592758
7,CV-736,ALICANTE / ALACANT,Spain,4.0,38.8346761,0.1207906
8,CV-795,ALICANTE / ALACANT,Spain,4.0,38.7287351,-0.6800446
9,CV-821,ALICANTE / ALACANT,Spain,5.0,38.3926025,-0.5100636
10,CV-847,ALICANTE / ALACANT,Spain,4.0,38.3496564,-0.6700872
11,CV-865,ALICANTE / ALACANT,Spain,3.0,38.2245443,-0.6074968
12,CV-905,ALICANTE / ALACANT,Spain,4.0,38.0689583,-0.7350567
13,CV-905,ALICANTE / ALACANT,Spain,3.0,38.0689583,-0.7350567
14,CV-905,ALICANTE / ALACANT,Spain,4.0,38.0689583,-0.7350567
15,N-332,ALICANTE / ALACANT,Spain,10.0,38.1120151,-0.6587894
16,N-332,ALICANTE / ALACANT,Spain,6.0,38.1120151,-0.6587894
17,N-332,ALICANTE / ALACANT,Spain,4.0,38.1120151,-0.6587894
18,N-332,ALICANTE / ALACANT,Spain,6.0,38.1120151,-0.6587894
19,N-332,ALICANTE / ALACANT,Spain,4.0,38.1120151,-0.6587894
20,N-340,ALICANTE / ALACANT,Spain,4.0,38.7191653,-0.4569073
21,A-7,ALMERÍA,Spain,3.0,36.8414197,-2.4628135
22,AL-12,ALMERÍA,Spain,9.0,36.8414197,-2.4628135
23,AV-562,ÁVILA,Spain,4.0,40.4589992,-4.3593826
24,AV-902,ÁVILA,Spain,3.0,40.434873,-4.6072831
25,EX-361,BADAJOZ,Spain,3.0,38.579377,-6.4677969
26,N-432,BADAJOZ,Spain,3.0,38.46459,-6.441636
27,C-731,"BALEARS, ILLES",Spain,4.0,38.9711261,1.35049896900808
28,C-731,"BALEARS, ILLES",Spain,3.0,38.9711261,1.35049896900808
29,C-731,"BALEARS, ILLES",Spain,4.0,38.9711261,1.35049896900808
30,C-731,"BALEARS, ILLES",Spain,3.0,38.9711261,1.35049896900808
31,C-733,"BALEARS, ILLES",Spain,8.0,39.07566015,1.50612295319747
32,C-733,"BALEARS, ILLES",Spain,6.0,39.07566015,1.50612295319747
33,C-733,"BALEARS, ILLES",Spain,3.0,39.07566015,1.50612295319747
34,C-733,"BALEARS, ILLES",Spain,3.0,39.07566015,1.50612295319747
35,Ma-11,"BALEARS, ILLES",Spain,3.0,39.7783034,2.7043974
